date,jpm_daily_return,jpm_rolling_vol_5d,jpm_rolling_vol_20d,jpm_rolling_vol_60d,jpm_return_5d_sum,jpm_return_20d_sum,vix_level,vix_change,vix_return,vix_rolling_mean_20d,vix_jpm_corr_20d,dgs1_rate,dgs1_rate_change,dgs1_rate_momentum_20d,jpm_log_volume,jpm_dividend_amount,dividend_event_flag,dividend_growth_yoy,sentiment_score_0_1,market_stress_score_0_1,jpm_return_outlier_iqr,vix_level_outlier_iqr,jpm_daily_return_lag_1,jpm_daily_return_lag_5,jpm_daily_return_lag_20,jpm_rolling_vol_20d_lag_1,jpm_rolling_vol_20d_lag_5,jpm_rolling_vol_20d_lag_20,vix_level_lag_1,vix_level_lag_5,vix_level_lag_20,dgs1_rate_lag_1,dgs1_rate_lag_5,dgs1_rate_lag_20
2018-05-24,-0.0112009243032356,0.1790932735460512,0.1526480082176237,0.2265467374250317,-0.015433619824930104,0.01021113313972839,12.53,-0.0500000000000007,-0.0039745627980922,14.0735,-0.4184639786197466,2.28,-0.0100000000000002,0.0299999999999998,16.4606068306873,0.0,0,0.0,0.9156666666666666,0.0843333333333333,0,0,-0.0046013135382473,-0.0033525628463604,0.001000061794268,0.1461711393345865,0.1295509929679601,0.2482269869696582,12.58,13.43,16.24,2.29,2.32,2.25
2018-05-25,-0.0051247102529428,0.1403768755476594,0.1519676878480755,0.2238022150994897,-0.004238298861377104,0.011451301257290089,13.22,0.6900000000000013,0.0550678371907422,13.964000000000002,-0.4817184977042811,2.27,-0.0099999999999997,0.0299999999999998,15.929776263082639,0.0,0,0.0,0.8926666666666666,0.1073333333333333,0,0,-0.0112009243032356,-0.016200544001072,-0.0063577581168755,0.1526480082176237,0.1425825475656565,0.2412765971122036,12.53,13.42,15.41,2.28,2.32,2.24
2018-05-29,-0.0427435937415202,0.3063872052550733,0.2181633334967008,0.2407999431059215,-0.0570589451823867,-0.026549114884636106,17.02,3.799999999999999,0.2874432677760967,14.0185,-0.7737748163618386,2.17,-0.1,-0.0700000000000002,17.237940948667468,0.0,0,0.0,0.766,0.2339999999999999,1,0,-0.0051247102529428,0.009178516627176,-0.0056674591629165,0.1519676878480755,0.145089702361382,0.2312864147858318,13.22,13.08,15.93,2.27,2.35,2.24
2018-05-30,0.0228453351748834,0.3755274172806931,0.2341357254501503,0.2433794901079233,-0.042109654098567394,-0.003960826857463705,14.94,-2.08,-0.1222091656874265,13.991,-0.8023288010290586,2.23,0.06,-0.0299999999999998,16.677185643544735,0.0,0,0.0,0.8353333333333334,0.1646666666666666,0,0,-0.0427435937415202,0.0076682485172918,0.0,0.2181633334967008,0.1457814981695964,0.2261701148800184,17.02,13.22,15.49,2.17,2.34,2.26
2018-05-31,-0.0123673220458755,0.3746367774960295,0.23664491795902,0.2444890154003229,-0.04994215574167919,-0.008468121388420605,15.43,0.4900000000000002,0.0327978580990628,13.964000000000002,-0.7997868372834324,2.23,0.0,-0.0100000000000002,16.801606601830162,0.0,0,0.0,0.819,0.181,0,0,0.0228453351748834,-0.0046013135382473,-0.0079057233616381,0.2341357254501503,0.1461711393345865,0.2205133385892198,14.94,12.58,15.97,2.23,2.29,2.24
2018-06-01,0.0129895095831216,0.4073214919060006,0.2401058417550605,0.2461072278092225,-0.025772159268504895,0.010758728404486795,13.46,-1.9699999999999989,-0.1276733635774464,13.842,-0.8102185573874003,2.28,0.0499999999999998,0.0399999999999995,16.42515386271438,0.0,0,0.0,0.8846666666666666,0.1153333333333334,0,0,-0.0123673220458755,-0.0112009243032356,-0.006301045000953,0.23664491795902,0.1526480082176237,0.2146156662144072,15.43,12.53,15.9,2.23,2.28,2.24
2018-06-04,0.0004611532877398,0.4092705852658726,0.23688641666529,0.2461145791826519,-0.020173225662758292,0.00018434057155799507,12.74,-0.7200000000000006,-0.0534918276374443,13.7405,-0.7990287395112342,2.3,0.02,0.0599999999999996,16.05785731077553,0.0,0,0.0,0.9086666666666666,0.0913333333333333,0,0,0.0129895095831216,-0.0051247102529428,0.0110965498363873,0.2401058417550605,0.1519676878480755,0.2009533548566553,13.46,13.22,14.77,2.28,2.27,2.24
2018-06-05,-0.0056245491896004,0.2244732440659219,0.2354088361145238,0.2386284784934826,0.017870344098002804,-0.014087923982650904,12.4,-0.3399999999999998,-0.0266875981161694,13.623,-0.7992397375013259,2.32,0.02,0.0699999999999998,16.15877693157884,0.0,0,0.0,0.92,0.08,0,0,0.0004611532877398,-0.0427435937415202,0.0086691997611958,0.23688641666529,0.2181633334967008,0.1986123741568163,12.74,17.02,14.75,2.3,2.17,2.25
2018-06-06,0.0233679801300497,0.2272119242676576,0.2444113520809952,0.2438207005887569,0.0183811852333066,-0.005692192553092303,11.64,-0.7599999999999998,-0.0612903225806451,13.4695,-0.8127040702638957,2.32,0.0,0.06,16.55335260858406,0.0,0,0.0,0.9453333333333334,0.0546666666666666,0,0,-0.0056245491896004,0.0228453351748834,0.0148120244262173,0.2354088361145238,0.2341357254501503,0.1936386283292437,12.4,14.94,14.71,2.32,2.23,2.26
2018-06-07,0.003986749327157,0.1784946004171264,0.2311672916713593,0.2429232828547261,0.034804442344545404,-0.023282803717331605,12.13,0.4900000000000002,0.0420962199312715,13.405,-0.7896889835696884,2.31,-0.0099999999999997,0.04,16.414073294814617,0.0,0,0.0,0.929,0.071,0,0,0.0233679801300497,-0.0123673220458755,0.0218037362704441,0.2444113520809952,0.23664491795902,0.1989246548488743,11.64,15.43,13.42,2.32,2.23,2.27
